dish,1_star,2_star,3_star,4_star,5_star,average_star
java,0,3,5,14,9,3.935483870967742
cubano,2,7,11,20,11,3.607843137254902
butterscotch,6,13,22,69,92,4.128712871287129
arugala,0,1,2,10,9,4.2272727272727275
butterfinger,0,1,3,3,3,3.8
cappucino,0,2,3,7,7,4.0
yams,1,3,2,7,5,3.6666666666666665
omlette,4,5,12,29,16,3.727272727272727
untoasted,0,3,1,0,0,2.25
apricots,1,1,8,14,10,3.911764705882353
wedding cake,1,5,7,15,31,4.186440677966102
chicken fried steak,18,12,33,67,67,3.7766497461928936
smores,2,5,12,32,42,4.150537634408602
marshmallows,2,8,15,41,30,3.9270833333333335
refillable,2,1,4,5,1,3.1538461538461537
pumpernickel,1,1,5,8,10,4.0
fosters,1,0,4,9,6,3.95
raita,1,0,2,3,3,3.7777777777777777
hard boiled egg,2,3,4,13,11,3.8484848484848486
handcut,0,1,1,2,5,4.222222222222222
stoli,2,2,5,8,8,3.72
7up,2,0,0,0,1,2.3333333333333335
pretzels,21,44,98,264,165,3.858108108108108
sauerkraut,4,6,14,30,34,3.9545454545454546
kraut,5,10,18,39,40,3.8839285714285716
redbull,5,4,6,5,3,2.869565217391304
adobada,0,1,0,1,0,3.0
a5,0,1,4,8,18,4.387096774193548
broccolini,0,7,19,35,31,3.9782608695652173
rondi,0,0,0,1,3,4.75
tater,13,40,81,146,106,3.756476683937824
taters,0,5,6,25,17,4.018867924528302
wendys,1,1,1,1,0,2.5
snacked,0,0,4,13,10,4.222222222222222
alaskan,2,4,7,27,37,4.207792207792208
strawberrys,0,1,0,4,3,4.125
tamarind,0,1,2,12,11,4.269230769230769
pils,5,6,17,34,15,3.6233766233766236
pilsner,3,4,15,23,14,3.694915254237288
gravlax,1,0,0,3,2,3.8333333333333335
bok choy,1,9,8,34,26,3.9615384615384617
hazelnuts,1,6,9,29,46,4.241758241758242
porkbelly,0,0,1,3,5,4.444444444444445
branzino,1,1,8,17,19,4.130434782608695
jellies,0,0,2,2,4,4.25
marzipan,0,0,0,5,4,4.444444444444445
mocktail,0,1,2,7,6,4.125
hors d'oeuvres,1,0,0,9,8,4.277777777777778
gizzards,0,0,0,1,1,4.5
stroganoff,7,17,13,54,44,3.8222222222222224
yakisoba,0,0,1,0,2,4.333333333333333
hoagie,0,8,2,12,10,3.75
wonderbread,2,0,3,1,2,3.125
pistachios,2,3,15,44,44,4.157407407407407
crostini,3,12,34,73,67,4.0
semifreddo,0,0,2,8,9,4.368421052631579
coca,2,1,4,10,12,4.0
julienned,2,0,3,7,8,3.95
dried fruit,1,5,4,11,14,3.914285714285714
poundcake,0,0,0,3,2,4.4
bacardi,0,0,4,11,4,4.0
roquefort,0,1,2,8,7,4.166666666666667
stirfry,0,1,2,1,0,3.0
maytag,1,4,12,39,38,4.159574468085107
pork loin,5,12,23,52,65,4.019108280254777
cheez,1,13,11,10,12,3.404255319148936
sangiovese,0,0,4,6,4,4.0
praline,0,0,4,8,15,4.407407407407407
challah,0,2,3,21,11,4.108108108108108
reubens,0,1,1,2,5,4.222222222222222
argula,0,0,3,3,4,4.1
chix,1,11,10,27,38,4.0344827586206895
fillets,3,2,5,6,10,3.6923076923076925
minced,3,6,5,14,10,3.5789473684210527
h2o,0,1,2,3,2,3.75
snacking,2,1,7,18,8,3.8055555555555554
grenadine,0,0,2,7,6,4.266666666666667
sidecar,1,3,4,8,12,3.9642857142857144
kurobuta,2,1,6,14,14,4.0
butterfish,1,0,3,4,9,4.176470588235294
shortribs,0,3,6,17,13,4.0256410256410255
terriyaki,1,0,3,2,3,3.6666666666666665
waygu,2,8,14,22,39,4.035294117647059
wagu,0,1,1,10,11,4.3478260869565215
blta,2,3,3,10,11,3.8620689655172415
h20,0,0,0,2,3,4.6
pepperjack,0,5,5,22,16,4.020833333333333
dunkel,0,0,5,2,2,3.6666666666666665
whitefish,3,2,7,16,13,3.8292682926829267
flax,1,0,3,13,10,4.148148148148148
swai,0,0,0,0,3,5.0
nougat,0,0,2,2,4,4.25
risoto,0,2,1,1,3,3.7142857142857144
porchetta,0,3,6,16,22,4.212765957446808
seeded,0,0,1,3,1,4.0
terrine,2,4,9,15,20,3.94
florentine,3,3,14,21,10,3.627450980392157
stromboli,10,5,26,75,54,3.929411764705882
strombolis,2,0,3,8,10,4.043478260869565
chedder,0,1,0,4,9,4.5
blinis,1,0,0,5,3,4.0
wieners,1,2,3,8,5,3.736842105263158
daikon,0,2,7,14,15,4.105263157894737
roulade,0,0,0,3,12,4.8
spatzle,0,0,0,0,4,5.0
chianti,0,2,3,6,2,3.6153846153846154
mochi,0,1,1,2,3,4.0
hushpuppies,0,0,2,4,5,4.2727272727272725
amouse,0,0,0,3,3,4.5
mahimahi,0,0,0,1,0,4.0
cornedbeef,0,0,0,3,0,4.0
cornbeef,0,1,1,6,3,4.0
bisquits,0,0,1,3,2,4.166666666666667
sambal,4,6,10,36,70,4.285714285714286
omlettes,1,1,3,6,4,3.7333333333333334
coffee bean,3,4,2,18,22,4.061224489795919
americanos,0,0,0,3,1,4.25
mochas,0,0,1,2,8,4.636363636363637
frap,1,1,0,10,10,4.2272727272727275
frappe,0,1,0,5,8,4.428571428571429
frapp,1,1,0,8,9,4.2105263157894735
appletini,1,0,2,5,2,3.7
yoke,2,6,4,6,7,3.4
smirnoff,2,2,1,4,4,3.4615384615384617
skyy,0,1,4,8,2,3.7333333333333334
cocacola,0,0,0,1,0,4.0
fatburger,1,3,1,4,6,3.7333333333333334
